Latitude (decimal degrees):	48.857
Longitude (decimal degrees):	2.352
Elevation (m):	32
Radiation database:	PVGIS-SARAH3


Slope: 37 deg. (optimum)
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20180101:0010,0.0,0.0,7.91,7.38,0.0
20180101:0110,0.0,0.0,7.62,7.17,0.0
20180101:0210,0.0,0.0,7.53,6.76,0.0
20180101:0310,0.0,0.0,7.41,6.55,0.0
20180101:0410,0.0,0.0,7.11,6.28,0.0
20180101:0510,0.0,0.0,7.0,6.07,0.0
20180101:0610,0.0,0.0,6.93,5.79,0.0
20180101:0710,0.0,0.0,6.81,5.86,0.0
20180101:0810,19.97,2.64,6.89,5.86,0.0
20180101:0910,22.01,9.45,7.32,6.21,0.0
20180101:1010,25.68,14.53,7.28,7.17,0.0
20180101:1110,338.6,17.49,7.08,8.34,0.0
20180101:1210,64.2,18.04,7.69,7.86,0.0
20180101:1310,464.89,16.11,8.61,6.9,0.0
20180101:1410,19.26,11.92,9.15,7.1,0.0
20180101:1510,63.81,5.81,8.46,7.59,0.0
20180101:1610,0.0,0.0,7.49,9.1,0.0
20180101:1710,0.0,0.0,6.8,9.31,0.0
20180101:1810,0.0,0.0,6.9,7.72,0.0
20180101:1910,0.0,0.0,7.36,7.17,0.0
20180101:2010,0.0,0.0,7.02,6.62,0.0
20180101:2110,0.0,0.0,7.08,6.41,0.0
20180101:2210,0.0,0.0,7.21,6.21,0.0
20180101:2310,0.0,0.0,7.45,6.14,0.0
20180102:0010,0.0,0.0,7.47,6.21,0.0
20180102:0110,0.0,0.0,7.25,5.93,0.0
20180102:0210,0.0,0.0,6.89,5.31,0.0
20180102:0310,0.0,0.0,6.75,5.17,0.0
20180102:0410,0.0,0.0,6.64,4.9,0.0
20180102:0510,0.0,0.0,6.34,4.28,0.0
20180102:0610,0.0,0.0,6.36,3.72,0.0
20180102:0710,0.0,0.0,5.17,3.24,0.0
20180102:0810,6.42,2.66,5.39,3.52,0.0
20180102:0910,57.34,9.48,5.84,3.38,0.0
20180102:1010,73.11,14.58,6.28,3.1,0.0
20180102:1110,102.67,17.56,7.33,3.86,0.0
20180102:1210,229.81,18.13,8.03,3.86,0.0
20180102:1310,64.2,16.22,8.32,3.79,0.0
20180102:1410,65.25,12.03,8.48,4.69,0.0
20180102:1510,49.09,5.94,8.46,5.17,0.0
20180102:1610,0.0,0.0,8.54,5.31,0.0
20180102:1710,0.0,0.0,8.95,5.03,0.0
20180102:1810,0.0,0.0,9.8,4.9,0.0
20180102:1910,0.0,0.0,10.31,5.17,0.0
20180102:2010,0.0,0.0,11.03,5.31,0.0
20180102:2110,0.0,0.0,11.55,6.34,0.0
20180102:2210,0.0,0.0,11.78,7.24,0.0
20180102:2310,0.0,0.0,11.33,7.59,0.0
20180103:0010,0.0,0.0,11.17,8.07,0.0
20180103:0110,0.0,0.0,11.63,8.69,0.0
20180103:0210,0.0,0.0,12.37,9.24,0.0
20180103:0310,0.0,0.0,13.02,9.66,0.0
20180103:0410,0.0,0.0,13.1,10.34,0.0
20180103:0510,0.0,0.0,11.27,8.83,0.0
20180103:0610,0.0,0.0,9.79,8.83,0.0
20180103:0710,0.0,0.0,8.9,9.03,0.0
20180103:0810,101.43,2.68,8.26,8.9,0.0
20180103:0910,17.43,9.52,8.01,8.97,0.0
20180103:1010,535.14,14.64,8.08,8.9,0.0
20180103:1110,612.17,17.64,8.7,8.07,0.0
20180103:1210,92.96,18.22,9.24,7.59,0.0
20180103:1310,580.85,16.33,9.63,8.07,0.0
20180103:1410,431.64,12.16,9.8,7.86,0.0
20180103:1510,57.62,6.07,9.47,7.79,0.0
20180103:1610,0.0,0.0,9.03,7.1,0.0
20180103:1710,0.0,0.0,8.7,6.69,0.0
20180103:1810,0.0,0.0,8.63,6.55,0.0
20180103:1910,0.0,0.0,8.59,5.72,0.0
20180103:2010,0.0,0.0,8.52,5.59,0.0
20180103:2110,0.0,0.0,8.51,5.31,0.0
20180103:2210,0.0,0.0,8.48,4.76,0.0
20180103:2310,0.0,0.0,8.35,4.34,0.0
